slug,import_decision,business_name,location_name,address,city,state,zip,neighborhood,latitude,longitude,hours,hours_note,quest_title,quest_description,quest_category,difficulty,xp_reward,points_reward,estimated_time,quest_objective,funky_action,hero_image_url,website_url,google_reviews_url,instagram_url,contact_email,business_status,verification_status,verification_sources,last_verified_date,notes
miam-cafe-wynwood,import,Miam Café,Miam Café - Wynwood,2750 NW 3rd Ave,Miami,FL,33127,Wynwood,25.802408,-80.2016552,,,Say 'Miam','Miam' is French for 'yum' — the entire mission statement in four letters. Find the Wynwood café that named itself after the sound you make when the plate arrives.,food,easy,50,25,5–10 min,Find Miam Café and photograph the thing on the menu that makes you go 'miam.',Actually say 'miam' out loud when you spot it. It's the law of the quest.,,https://www.miamcafe.com/,https://www.google.com/maps/search/?api=1&query=Miam+Cafe+2750+NW+3rd+Ave+Miami+FL,https://www.instagram.com/miam.cafe/,info@miamcafe.com,active,verified,"Yelp (updated Jun 2026) + official site + Instagram, checked 2026-07-07",2026-07-07,"Decision maker: General Manager; Contact: info@miamcafe.com. Input Instagram handle @miamcafe not found exactly; active handle is @miam.cafe. Miam Café has additional locations in Coral Gables, Biscayne, Fort Lauderdale, and Miami Beach; Wynwood used here as it matches the input's stated neighborhood."
el-carajo-coral-way,import,El Carajo International Tapas & Wine,El Carajo,2465 SW 17th Ave,Miami,FL,33145,Coral Way,25.7461508,-80.221873,,,Fill Up on Tapas,"From the street it's a working Mobil gas station. Inside, since 1981, it's been a Spanish tapas and wine destination. This is the most Miami plot twist on Coral Way — and one of the city's great hidden doors.",hidden_gem,medium,150,75,10–15 min,Walk past the gas pumps and find the tapas-and-wine restaurant hiding inside. Photograph the exact spot where gas station turns into Spain.,"Text a friend 'I'm at a gas station,' then send your photo with zero explanation.",,https://el-carajo.com/,https://www.google.com/maps/search/?api=1&query=El+Carajo+2465+SW+17th+Ave+Miami+FL,https://www.instagram.com/theelcarajo/,info@el-carajo.com,active,verified,"Yelp + official site + Instagram search, checked 2026-07-07",2026-07-07,Decision maker: Proprietor; Contact: info@el-carajo.com. Input Instagram handle @elcarajomiami not found; active handle is @theelcarajo (~18K followers). Known for being tucked into a working Mobil gas station off US-1; open since 1981.
pasion-del-cielo-brickell,import,Pasión del Cielo Coffee,Pasión del Cielo Coffee - Brickell,907 Brickell Ave,Miami,FL,33131,Brickell,25.7651768,-80.1908292,,,Heaven on Brickell,"The name means 'passion of heaven,' and it sits in the middle of Brickell's canyon of glass towers. Duck out of the financial district for ten minutes of the good stuff.",food,easy,50,25,5–10 min,Find Pasión del Cielo on Brickell Ave and photograph its name where it appears — then add your own translation.,Salute the sky as you walk in. El cielo will understand.,,https://www.pasiondelcielo.com/,https://www.google.com/maps/search/?api=1&query=Pasion+del+Cielo+Coffee+907+Brickell+Ave+Miami+FL,https://www.instagram.com/pasiondelcielocoffee/,info@pasiondelcielo.com,active,verified,"Yelp (updated Apr 2026) + official site + Instagram, checked 2026-07-07",2026-07-07,Decision maker: Area Manager; Contact: info@pasiondelcielo.com. Input Instagram handle @pasiondelcielofl not found exactly; active handle is @pasiondelcielocoffee. Also operates a near-identical site at pasiondelcielocoffee.com and additional locations in Coral Gables (Giralda Ave) and Midtown.
wynwood-walls,import,Wynwood Walls,Wynwood Walls,2516 NW 2nd Ave,Miami,FL,33127,Wynwood,25.801018,-80.199493,10:30 AM – 6:30 PM,Daily · timed entry tickets,Walls That Talk,An open-air museum where the galleries have no ceilings and the canvases are entire buildings. Timed entry tickets get you in the gates — curiosity does the rest.,art,medium,150,75,15–20 min,"Wander the outdoor galleries and find the mural that stops you mid-step. Photograph it, and hunt down the artist's name.","Match your pose to the mural. Yes, exactly like that.",,https://thewynwoodwalls.com/,https://www.yelp.com/biz/wynwood-walls-miami,https://www.instagram.com/wynwoodwallsofficial/,info@thewynwoodwalls.com,active,verified,"Official site thewynwoodwalls.com + Yelp/Apple Maps listings, checked 2026-07-07",2026-07-07,"Decision maker: Director of Marketing; Contact: info@thewynwoodwalls.com. Outdoor street art museum, open daily 10:30am-6:30pm, timed/ticketed entry."
perez-art-museum-miami,import,Pérez Art Museum Miami,Pérez Art Museum Miami,1103 Biscayne Blvd,Miami,FL,33132,Downtown Miami,25.7859809,-80.1862693,,,Art on the Bay,"PAMM sits at the water's edge of Maurice A. Ferré Park, next door to the Kaseya Center. Inside: contemporary art. Outside: Biscayne Bay doing its best to compete with it.",art,medium,150,75,15–20 min,Find the one artwork inside PAMM you'd hang at home — then find the bay view and decide which one wins.,Leave a one-word review of your favorite piece in your Community Note.,,https://www.pamm.org/,https://www.yelp.com/biz/p%C3%A9rez-art-museum-miami-miami-7,https://www.instagram.com/pamm/,info@pamm.org,active,verified,"Official site pamm.org + Apple Maps geocode tied to confirmed address, checked 2026-07-07",2026-07-07,"Decision maker: Visitor Exp. Director; Contact: info@pamm.org. Located in Maurice A. Ferré Park, Downtown Miami, adjacent to Kaseya Center."
ica-miami,import,"Institute of Contemporary Art, Miami","Institute of Contemporary Art, Miami",61 NE 41st St,Miami,FL,33137,Design District,25.8143585,-80.1942981,,,"Free Art, Big Ideas","A contemporary art museum in the Design District where admission is always free — and the museum is growing into the buildings next door. Zero dollars, maximum strangeness.",art,medium,150,75,15–20 min,"Walk in (it's free), explore a floor, and photograph the most wonderfully strange thing you find — where photos are allowed.","Later, describe that piece to a friend in exactly five words.",,https://icamiami.org/,https://www.yelp.com/biz/institute-of-contemporary-art-miami-miami-2,https://www.instagram.com/icamiami/,hello@icamiami.org,active,verified,"Official site icamiami.org + Yelp listing, checked 2026-07-07",2026-07-07,"Decision maker: Public Programs Head; Contact: hello@icamiami.org. Free admission museum; recently acquired adjacent buildings for expansion. Coordinates not found from a reliable primary source (only general Design District area coords available), left null per verification rules."
bachour-coral-gables,import,Bachour,Bachour Coral Gables,2020 Salzedo St,Coral Gables,FL,33134,Coral Gables,25.7538553,-80.2611351,,,The Pastry Michelin Knows,Chef Antonio Bachour's Coral Gables bakery-restaurant carries a Michelin Bib Gourmand — the guide's nod for cooking that seriously over-delivers. The pastry display is the gallery; you're the jury.,food,easy,50,25,5–10 min,Find Bachour on Salzedo St and photograph the pastry display — then pick the one you'd personally award a star.,Announce your winner with a full chef's kiss. Mwah.,,https://antoniobachour.com/,https://www.yelp.com/biz/bachour-coral-gables,https://www.instagram.com/bachourmiami/,info@antoniobachour.com,active,verified,"Official site antoniobachour.com + Apple Maps geocode, checked 2026-07-07",2026-07-07,"Decision maker: Chef Antonio Bachour; Contact: info@antoniobachour.com. Michelin Bib Gourmand bakery/restaurant. Note: address is technically in Coral Gables (a separate municipality), not Miami proper."
temple-house-south-beach,import,The Temple House,The Temple House,1415 Euclid Ave,Miami Beach,FL,33139,South Beach,25.785967,-80.134925,,,Deco in Disguise,Architect L. Murray Dixon built this South Beach landmark in 1933; today it's a private event space hiding on quiet Euclid Avenue. You can't wander inside uninvited — but the Art Deco facade belongs to everyone.,culture,easy,50,25,5–10 min,Find the 1933 Temple House on Euclid Ave and photograph its Art Deco facade from the sidewalk.,Frame your shot like a 1930s postcard. Caption it 'Greetings from Miami Beach.',,https://thetemplehouse.com/,https://www.yelp.com/biz/the-temple-house-miami-beach,https://www.instagram.com/thetemplehouse/,info@thetemplehouse.com,active,verified,"Official site thetemplehouse.com + Yelp/Google Maps listing, checked 2026-07-07",2026-07-07,"Decision maker: Events Director; Contact: info@thetemplehouse.com. Private, standalone Art Deco event venue (1933 building by L. Murray Dixon), capacity 1-500 guests."
e11even-miami,import,E11EVEN Miami,E11EVEN Miami,29 NE 11th St,Miami,FL,33132,Downtown Miami,25.7849579,-80.1935969,Open 24 hours,21+ only,The Club That Never Sleeps,"A 24-hour ultraclub ranked among the best on the planet — Downtown Miami's round-the-clock heartbeat. Whatever hour you arrive, you're on time. 21+ only.",nightlife,medium,150,75,10–20 min,"Make it to E11EVEN — any hour works, it never closes — and capture proof you found Miami's 24-hour ultraclub.",Caption your photo with the exact time you were there. Sunrise entries earn eternal respect.,,https://www.11miami.com/,https://www.yelp.com/biz/e11even-miami-4,https://www.instagram.com/11miami/,info@11miami.com,active,verified,"Official site 11miami.com + Apple Maps geocode + Yelp, checked 2026-07-07",2026-07-07,"Decision maker: Marketing VP; Contact: info@11miami.com. 24-hour ultraclub, 21+ only, ranked among top clubs globally."
sugar-rooftop-east-miami,import,Sugar,"Sugar Rooftop at EAST, Miami","788 Brickell Plaza, Floor 40",Miami,FL,33131,Brickell,25.766606,-80.1928702,,,Forty Floors Up,Ride to the 40th floor of EAST Miami and step into a Balinese-inspired rooftop garden floating over Brickell. Up here the skyline isn't the backdrop — it's the whole show.,nightlife,medium,150,75,10–20 min,Reach Sugar on EAST Miami's 40th floor and capture the Brickell skyline from the rooftop.,Point at the tallest tower you can see and calmly claim it as your future office.,,https://www.easthotels.com/en/miami/restaurants-and-bars/sugar/,https://www.yelp.com/biz/sugar-miami-2,https://www.instagram.com/sugar.rooftop/,sugar@easthotels.com,active,verified,"Official site easthotels.com + Yelp + Instagram search, checked 2026-07-07",2026-07-07,"Decision maker: Director of Nightlife; Contact: sugar@easthotels.com. Correction: input Instagram handle '@sugarmiami' is incorrect - the venue's real active Instagram account is @sugar.rooftop (56K followers). 40th-floor Balinese-inspired rooftop bar at EAST, Miami hotel. Precise coordinates not found from a reliable source, left null."
lagniappe-house-midtown,import,Lagniappe House,Lagniappe,3425 NE 2nd Ave,Miami,FL,33137,Midtown / Wynwood-Edgewater,25.8090466,-80.1910054,,,A Little Something Extra,"'Lagniappe' is an old Louisiana word for a little unexpected bonus — and this award-winning wine bar and jazz house on the Wynwood-Edgewater border lives up to it, all the way to the garden out back.",nightlife,medium,150,75,15–20 min,"Explore the house, find the garden, and settle in. Photograph your spot.",Use 'lagniappe' in a sentence on your way out. Bonus points if it lands naturally.,,http://www.lagniappehouse.com/,https://www.yelp.com/biz/lagniappe-miami-3,https://www.instagram.com/lagniappehouse/,info@lagniappehouse.com,active,verified,"Official site lagniappehouse.com + Yelp listing, checked 2026-07-07",2026-07-07,"Decision maker: Owner/Operator; Contact: info@lagniappehouse.com. Award-winning wine bar and jazz club with garden seating. Some listings place it at the Wynwood-Edgewater border rather than Midtown proper. Precise coordinates not found from a reliable source, left null."
dantes-hifi-wynwood,import,Dante's HiFi,Dante's HiFi,519 NW 26th St,Miami,FL,33127,Wynwood,25.8011178,-80.2037057,,,Drop the Needle,"A vinyl listening bar in Wynwood where the records are the headliner. This is nightlife at 33⅓ RPM: sit down, tune in, and let someone else's crates change your taste.",nightlife,medium,150,75,15–20 min,Find Dante's HiFi and stay through at least one full song with your phone down. Then capture one discreet photo of the night.,Drop the song that was playing into your Community Note — future adventurers will thank you.,,https://danteshifi.com/,https://www.yelp.com/biz/dantes-hifi-miami,https://www.instagram.com/danteshifi/,info@danteshifi.com,active,verified,"Official site danteshifi.com + Apple Maps geocode + Yelp, checked 2026-07-07",2026-07-07,Decision maker: Creative Director; Contact: info@danteshifi.com. Vinyl listening bar/lounge in Wynwood.
superblue-miami,import,Superblue Miami,Superblue Miami,1101 NW 23rd St,Miami,FL,33127,Allapattah,25.7991925,-80.2138844,,,Step Inside the Art,"In Allapattah, directly across from the Rubell Museum, Superblue trades picture frames for entire rooms. You don't look at this art — you walk into it.",art,medium,150,75,15–20 min,Lose yourself in an immersive room and photograph the moment reality bends.,Take one photo where it's genuinely impossible to tell which way is up.,,https://www.superblue.com/,https://www.yelp.com/biz/superblue-miami-miami-2,https://www.instagram.com/superbluemiami/,info@superblue.com,active,verified,"Official site superblue.com + Google Maps place listing + Yelp, checked 2026-07-07",2026-07-07,Decision maker: Operations Director; Contact: info@superblue.com. Immersive experiential art space located across from the Rubell Museum in Allapattah; input neighborhood 'Allapattah / Edge' normalized to Allapattah.
standard-spa-miami-beach,import,"The Standard Spa, Miami Beach","The Standard Spa, Miami Beach",40 Island Ave,Miami Beach,FL,33139,Belle Isle / South Beach,25.79175,-80.149086,,,Island of Calm,"An adults-only spa hideaway on Belle Isle, floating between Miami and Miami Beach. The quest is the journey: leave the mainland pace behind and find the island where wellness is the whole point.",fitness,medium,150,75,10–15 min,Make your way onto Belle Isle and find the entrance to The Standard. Photograph your arrival.,"Take one deep, dramatic spa breath at the entrance. In through the nose. You've earned it.",,https://www.standardhotels.com/miami/properties/miami-beach,https://www.yelp.com/biz/the-standard-spa-hotel-miami-beach,https://www.instagram.com/thestandardmiami/,spa.miami@standardhotels.com,active,verified,"Official site standardhotels.com + Yelp + Google Maps listing, checked 2026-07-07",2026-07-07,Decision maker: Spa Director; Contact: spa.miami@standardhotels.com. Correction: input Instagram handle '@thestandard' is the global brand account (188K followers); the property-specific account is @thestandardmiami (23K followers) - used the latter as more accurate. Adults-only hotel/spa on Belle Isle.
komodo-brickell,import,Komodo Miami,Komodo Miami,801 Brickell Ave,Miami,FL,33131,Brickell,25.7656196,-80.1901639,,,Dragon Hunting in Brickell,"Named after the world's largest lizard and built to match, Komodo is Brickell dining at full spectacle. Come see why this corner of Brickell Avenue roars.",food,medium,150,75,10–15 min,Track down Komodo on Brickell Ave and photograph the boldest detail of the space you can find.,Work your subtlest dragon impression into the photo. Subtle. We mean it.,,https://komodomiami.com/,https://www.google.com/search?q=Komodo+Miami+Brickell+reviews,https://www.instagram.com/komodomiami/,info@groothospitality.com,active,verified,"Official site komodomiami.com + Yelp + Apple Maps listing, checked 2026-07-07.",2026-07-07,Decision maker: Groot Hospitality CMO; Contact: info@groothospitality.com. Coordinates sourced from Apple Maps listing snippet (801 Brickell Ave).
